City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
252,Hwange,ZW,78.64,clear sky,-18.3693,26.5019,Hwange Colliery Guest House
258,Rock Hill,US,77.41,clear sky,34.9249,-81.0251,DDCSVC
264,Mitsamiouli,KM,75.24,clear sky,-11.3847,43.2844,Foyer ADM
267,Tabou,CI,76.32,overcast clouds,4.423,-7.3528,hotêl doufoulougou
268,Bud,US,78.85,scattered clouds,39.447,-86.1758,Ted McQuinn Trust
272,Simiti,CO,87.28,overcast clouds,7.9579,-73.9436,Cancha la original
274,Villa Bisono,DO,88.11,overcast clouds,19.5638,-70.8758,Alixco
275,Itarema,BR,80.46,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
280,Moorhead,US,75.97,clear sky,46.8739,-96.7676,"Courtyard by Marriott Fargo Moorhead, MN"
283,Zambezi,ZM,76.64,broken clouds,-13.5432,23.1047,Royal Kutachika Lodge
285,Matadi,CD,78.33,overcast clouds,-5.8167,13.45,Hotel Vivi Palace
292,Sawakin,SD,86.52,clear sky,19.1059,37.3321,فندق الدويم
294,Honiara,SB,77.83,overcast clouds,-9.4333,159.95,Heritage Park Hotel
296,Sal Rei,CV,81.39,scattered clouds,16.1833,-22.9167,Marine Club Beach Resort
300,Caravelas,BR,77.31,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
301,Chimore,BO,89.67,overcast clouds,-16.9833,-65.1333,Bichito
304,Bontang,ID,76.8,overcast clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
311,Sao Filipe,CV,79.45,scattered clouds,14.8961,-24.4956,Hotel Xaguate
312,San Policarpo,PH,80.92,overcast clouds,12.1791,125.5072,Agapita M. Nicart
315,Cabedelo,BR,79.47,clear sky,-6.9811,-34.8339,Pousada Camboinha
317,Napuro,PH,75.49,overcast clouds,12.0273,124.7082,Maria gennet DC conde
324,San Patricio,US,89.55,scattered clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
330,Sao Jose Da Coroa Grande,BR,78.78,clear sky,-8.8978,-35.1478,Crôa Mares Hotel
335,Puri,IN,79.32,few clouds,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
336,Keti Bandar,PK,80.74,broken clouds,24.1447,67.4497,Haji laloo memon house
337,Katherine,AU,82.72,broken clouds,-14.4667,132.2667,Pine Tree Motel
344,Panaba,MX,89.65,clear sky,21.2833,-88.2667,Hotel Don Fernando
345,Anahuac,MX,85.14,broken clouds,27.2333,-100.15,HOTEL SAN FELIPE
346,Mecca,SA,85.82,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
348,Kununurra,AU,82.38,scattered clouds,-15.7667,128.7333,Hotel Kununurra
351,Kanniyakumari,IN,78.3,overcast clouds,8.0833,77.5667,Sparsa Kanyakumari
353,Sinnamary,GF,82.92,clear sky,5.3833,-52.95,ALETHEIA Appartement Sinnamary
354,Esmeraldas,BR,85.06,broken clouds,-19.7625,-44.3139,Forasteiro Pousada
355,Monrovia,LR,78.57,light rain,6.3005,-10.7969,Sunset Inn
356,Carutapera,BR,83.43,few clouds,-1.195,-46.02,Lidera
357,Saint-Georges,GD,78.31,overcast clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
362,Nouadhibou,MR,79.12,scattered clouds,20.931,-17.0347,El Medina
365,Bafoulabe,ML,83.16,clear sky,13.8065,-10.8321,Logement du Chargé SIS Abdoul Karim Konaté
366,Gat,IL,75.88,clear sky,31.61,34.7642,OlusHome
372,Cururupu,BR,83.37,scattered clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
373,Jaguey Grande,CU,89.26,light rain,22.5269,-81.1286,Barberia hendrix
375,Samarai,PG,80.96,broken clouds,-10.6167,150.6667,Nuli Sapi
383,Miandrivazo,MG,76.33,clear sky,-19.5167,45.4667,Hôtel Arc En Ciel Miandrivazo
388,Kulhudhuffushi,MV,80.82,overcast clouds,6.6221,73.07,Haajy Guest House 1
392,Yenagoa,NG,75.79,light rain,4.9247,6.2642,Aridolf Resort Wellness and Spa
393,Tautira,PF,76.42,few clouds,-17.7333,-149.15,Pension Oaoa
394,Ankazoabo,MG,77.41,clear sky,-22.2833,44.5167,ENCEIN BUREAU CISCO
395,Baculin,PH,77.99,overcast clouds,7.4525,126.5842,Baculin Cove Beach Resort
401,Sancti Spiritus,CU,86.4,few clouds,21.9297,-79.4425,Hostal El Parque
402,La Romana,DO,85.96,overcast clouds,18.4273,-68.9728,Casa de Campo Resort and Villas
405,Axim,GH,76.62,clear sky,4.8699,-2.2405,Axim Beach Resort And Spa
408,Linhares,BR,77.58,scattered clouds,-19.3911,-40.0722,Hotel Conceição
410,Santiago De Cuba,CU,86.11,scattered clouds,20.0247,-75.8219,Cubanacan San Felix
411,Tuy Hoa,VN,76.87,very heavy rain,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
415,Naliya,IN,80.56,scattered clouds,23.2667,68.8333,jadeja jayendrasinh
417,Mazatlan,MX,87.91,scattered clouds,23.2167,-106.4167,Hotel La Siesta
418,Mineiros,BR,79.54,broken clouds,-17.5694,-52.5511,Pilões Palace Hotel
421,Namatanai,PG,79.47,light rain,-3.6667,152.4333,Seagulls Inn Namatani
426,Xiamen,CN,78.26,broken clouds,24.4798,118.0819,Xiamen Dongchen Hotel
428,Savannah Bight,HN,77.16,overcast clouds,16.45,-85.85,Villa on Dunbar Rock
429,Hillsborough,US,86.99,mist,37.5741,-122.3794,Hyatt Regency San Francisco Airport
434,Ocos,GT,89.78,overcast clouds,14.5094,-92.1933,Auto Hotel El Soñador
435,West Fargo,US,76.01,clear sky,46.875,-96.9004,Hilton Garden Inn Fargo
443,Praya,CV,82.94,few clouds,14.9215,-23.5087,LT Aparthotel
446,Tabas,IR,78.39,clear sky,33.5959,56.9244,شرکت معماری مهراز شایگان آراد
448,Nizwa,OM,80.44,clear sky,22.9333,57.5333,Orient Apartments
455,Aden,YE,87.01,overcast clouds,12.7794,45.0367,Sama Emirate Hotel
456,Maceio,BR,80.04,few clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
457,Cadereyta,MX,78.48,overcast clouds,25.5833,-99.9833,Hotel Maria Luisa Inn and Suites
458,Pecos,US,83.23,scattered clouds,31.4229,-103.4932,Knights Inn & Suites Pecos Northeast
459,Pacific Grove,US,78.39,haze,36.6177,-121.9166,Lovers Point Inn
462,Mariana,BR,76.59,broken clouds,-20.3778,-43.4161,MINAS POUSADA E HOTEL LTDA
465,Maragogi,BR,78.57,few clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
468,Muli,MV,80.98,overcast clouds,2.9167,73.5667,Medhufushi Island Resort
471,Vanimo,PG,77.72,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
473,Mayumba,GA,75.99,light rain,-3.432,10.6554,LIKWALE LODGE
476,Manokwari,ID,77.54,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
477,Miri,MY,77.07,overcast clouds,4.4148,114.0089,"Mega Hotel, Miri"
480,Oistins,BB,78.89,broken clouds,13.0667,-59.5333,Butterfly Beach Hotel
481,Entre Rios,BR,80.15,clear sky,-11.9419,-38.0844,Pousada Porteira
489,Pedernales,DO,84.36,broken clouds,18.0384,-71.744,Hotel Costa Marina
493,Tupelo,US,82.69,clear sky,34.2576,-88.7034,"Hilton Garden Inn Tupelo, MS"
500,Santa Fe,AR,79.02,overcast clouds,-31.6333,-60.7,Conquistador Hotel
503,Bayji,IQ,88.29,clear sky,34.9311,43.487,دار الضيافة
505,Santa Cruz De Tenerife,ES,77.45,scattered clouds,28.4682,-16.2546,Hotel Silken Atlántida Santa Cruz
507,Marsh Harbour,BS,79.81,few clouds,26.5412,-77.0636,Abaco Beach Resort
514,Prado,BR,77.16,scattered clouds,-17.3411,-39.2208,INN CORNER RIVER - PRADO - BAHIA - HOUSING AND HOTEL
515,Acapulco,MX,87.62,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
519,Jaisalmer,IN,86.07,clear sky,26.9147,70.9181,Hotel Fifu
521,Macau,MO,82.85,scattered clouds,22.2006,113.5461,Grand Emperor Hotel Macau
524,Balingasay,PH,81.57,scattered clouds,16.3573,119.8564,Rock Garden Resort
527,Gushikawa,JP,79.83,broken clouds,26.3544,127.8686,Kirari Guest House
528,Lincoln,US,76.28,overcast clouds,40.8,-96.667,Courtyard by Marriott Lincoln Downtown/Haymarket
529,Marao,PH,78.62,overcast clouds,13.9142,121.8392,Borawan Island Resort by Cocotel
530,Mae Sot,TH,76.42,overcast clouds,16.7167,98.5667,Suan Darb Porn Resort (บ้านสวนดาบพรรีสอร์ท)
533,Riyadh,SA,78.94,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
534,Khed Brahma,IN,83.07,overcast clouds,24.0333,73.05,UMIYA NASTA HOUSE
542,Ugoofaaru,MV,81.5,overcast clouds,5.6667,73.0,Ungoofaaru Inn
543,Puerto Madero,MX,89.8,scattered clouds,14.7208,-92.4215,DEPARTAMENTOS LA ESTANCIA
544,Kingston,JM,88.75,few clouds,17.997,-76.7936,The Jamaica Pegasus Hotel
547,Nishihara,JP,79.88,overcast clouds,26.1842,127.7558,Minshuku Agaihama
550,Doka,SD,76.03,few clouds,13.5167,35.7667,منصور عثمان
554,Ha Tinh,VN,75.38,broken clouds,18.3333,105.9,Phú Quý
560,Hurghada,EG,81.27,clear sky,27.2574,33.8129,Sea Star Beau Rivage Hotel
561,Hit,IQ,86.67,clear sky,33.6416,42.8251,المعلق حسان رزاق
563,Gunjur,GM,82.17,scattered clouds,13.2019,-16.7339,Jallo Kurundingoto Eco Tourist Camp
564,Ascension,US,87.06,clear sky,30.2169,-90.9001,Highland Inn
566,Thanh Hoa,VN,75.4,scattered clouds,19.8,105.7667,KHÁCH SẠN NGỌC LY 8
570,Padang,ID,76.93,overcast clouds,-0.9492,100.3543,Mercure Padang
573,Palauig,PH,80.13,broken clouds,15.435,119.9045,Villa Raphael Resort
578,Magnolia,US,82.09,clear sky,33.2671,-93.2393,Budget Inn
594,Nagothana,IN,77.07,overcast clouds,18.5333,73.1333,Kamath Residency Nature Resort And Restaurant.
595,Minas De Barroteran,MX,80.51,scattered clouds,27.6333,-101.2833,Motel Venecia
600,Puerto Morazan,NI,88.57,broken clouds,12.8504,-87.1717,Iglesia de Dios de la profecia
