City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
77,Cape Town,ZA,-33.9258,18.4232,59.88,62,0,5.01,clear sky
78,Chuy,UY,-33.6971,-53.4616,63.72,67,90,13.53,overcast clouds
79,Carballo,ES,43.213,-8.691,62.76,94,100,9.73,overcast clouds
80,Alofi,NU,-19.0595,-169.9187,76.96,80,99,16.35,overcast clouds
81,Geraldton,AU,-28.7667,114.6,54.01,87,75,8.05,broken clouds
82,Victoria,HK,22.2855,114.1577,83.32,79,41,11.01,scattered clouds
83,Naze,JP,28.3667,129.4833,74.01,76,34,9.51,scattered clouds
84,Chokurdakh,RU,70.6333,147.9167,16.18,97,96,5.61,overcast clouds
85,Brigantine,US,39.4101,-74.3646,61.05,92,100,8.05,mist
86,Alta Floresta,BR,-9.8756,-56.0861,96.62,41,40,5.75,scattered clouds
87,Sungairaya,ID,0.7,108.9,76.05,90,100,3.47,overcast clouds
88,Umm Kaddadah,SD,13.6017,26.6876,91.24,30,43,8.37,scattered clouds
89,Ostrovnoy,RU,68.0531,39.5131,46.87,90,100,13.18,overcast clouds
90,Funtua,NG,11.5233,7.3081,72.52,80,95,6.35,overcast clouds
91,Labuhan,ID,-6.8844,112.2051,77.29,84,100,11.65,overcast clouds
92,Narovchat,RU,53.8765,43.6946,47.43,89,100,10.85,overcast clouds
93,Barabai,ID,-2.5833,115.3833,72.54,96,91,1.43,overcast clouds
94,Ola,RU,59.5833,151.2833,22.53,70,99,6.13,overcast clouds
95,Ushuaia,AR,-54.8,-68.3,51.46,43,40,11.5,scattered clouds
96,Mahebourg,MU,-20.4081,57.7,71.89,73,20,8.05,few clouds
97,Abha,SA,18.2164,42.5053,65.73,33,20,7.23,few clouds
98,Corinto,GR,37.9407,22.9573,67.89,59,0,4.36,clear sky
99,Seoul,KR,37.5683,126.9778,58.39,71,100,3.15,overcast clouds
100,Jamame,SO,0.0722,42.7506,76.33,88,71,11.79,broken clouds
101,Tura,IN,25.5198,90.2201,71.11,97,91,2.95,overcast clouds
102,Lagoa,PT,39.05,-27.9833,69.01,84,100,20.71,light rain
103,Sabang,ID,5.8933,95.3214,78.78,83,100,15.73,light rain
104,Yellowknife,CA,62.456,-114.3525,37.56,64,6,11.99,clear sky
105,Ulety,RU,51.3572,112.4849,21.11,90,19,3.27,few clouds
106,Khash,IR,28.2211,61.2158,65.28,21,0,4.63,clear sky
107,Tuatapere,NZ,-46.1333,167.6833,38.01,85,100,14.56,overcast clouds
108,Mount Gambier,AU,-37.8333,140.7667,57.11,94,100,10.36,overcast clouds
109,Vanavara,RU,60.34,102.2797,26.6,83,38,3.51,scattered clouds
110,Harper,LR,4.375,-7.7169,76.57,90,97,7.31,overcast clouds
111,Carnarvon,AU,-24.8667,113.6333,62.92,61,21,23.67,few clouds
112,Progreso,MX,21.2833,-89.6667,88.11,52,0,10.22,clear sky
113,Dhidhdhoo,MV,6.8833,73.1,80.89,80,100,17.63,overcast clouds
114,Codrington,AU,-38.2667,141.9667,54.86,93,100,11.27,overcast clouds
115,Eregli,TR,37.5133,34.0467,62.44,56,0,2.46,clear sky
116,Fairbanks,US,64.8378,-147.7164,46.22,81,82,2.35,broken clouds
117,Porto Novo,BJ,6.4965,2.6036,77.27,86,35,7.09,scattered clouds
118,Nelson Bay,AU,-32.7167,152.15,62.01,97,100,3.0,light rain
119,Warrington,GB,53.3925,-2.5802,52.32,87,75,13.8,broken clouds
120,Guerrero Negro,MX,27.9769,-114.0611,76.26,61,6,8.95,clear sky
121,Arlit,NE,18.7369,7.3853,95.52,13,7,17.78,clear sky
122,Cidreira,BR,-30.1811,-50.2056,64.4,76,54,16.75,broken clouds
123,Makakilo City,US,21.3469,-158.0858,81.61,65,40,5.75,scattered clouds
124,Ouango,CF,4.3133,22.5552,70.56,99,88,3.04,moderate rain
125,Mehamn,NO,71.0357,27.8492,42.75,75,0,19.57,clear sky
126,Norman Wells,CA,65.282,-126.8329,43.95,69,74,10.56,broken clouds
127,Lavrentiya,RU,65.5833,-171.0,38.43,90,100,23.24,overcast clouds
128,Hualmay,PE,-11.0964,-77.6139,66.06,67,11,13.67,few clouds
129,Santa Rosa,PH,14.3122,121.1114,80.11,87,100,6.4,overcast clouds
130,Lasa,IT,46.6166,10.7002,50.36,84,25,2.55,scattered clouds
131,Stornoway,GB,58.2093,-6.3865,49.96,88,40,17.27,light rain
132,La Ronge,CA,55.1001,-105.2842,42.15,38,0,8.75,clear sky
133,Kodiak,US,57.79,-152.4072,53.11,87,100,19.57,moderate rain
134,Fortuna,US,40.5982,-124.1573,69.93,72,7,6.98,clear sky
135,Bambous Virieux,MU,-20.3428,57.7575,71.85,73,20,8.05,few clouds
136,Vestmannaeyjar,IS,63.4427,-20.2734,45.86,70,82,18.84,broken clouds
137,Mar Del Plata,AR,-38.0023,-57.5575,60.82,87,100,11.5,light rain
138,Salaga,GH,8.5508,-0.5188,76.14,90,57,4.99,light rain
139,Dekar,BW,-21.5333,21.9333,79.45,13,0,8.63,clear sky
140,Ketchikan,US,55.3422,-131.6461,57.67,94,100,13.8,moderate rain
141,Port Hedland,AU,-20.3167,118.5667,64.45,94,1,4.61,clear sky
142,Zhezkazgan,KZ,47.8043,67.7144,47.57,22,0,8.66,clear sky
143,Oussouye,SN,12.485,-16.5469,81.0,82,12,7.14,few clouds
144,Eureka,US,40.8021,-124.1637,76.68,73,14,1.99,few clouds
145,Bingol,TR,38.8847,40.4939,66.2,30,79,2.71,broken clouds
146,Ribeira Grande,PT,38.5167,-28.7,70.2,88,75,9.22,broken clouds
147,Gizo,SB,-8.103,156.8419,81.73,75,67,7.85,broken clouds
148,Constitucion,CL,-35.3333,-72.4167,57.38,70,2,13.31,clear sky
149,Rawah,IQ,34.4816,41.9093,82.85,15,4,2.95,clear sky
150,Sarkand,KZ,45.41,79.9186,47.75,47,0,3.42,clear sky
151,San Quintin,MX,30.4833,-115.95,73.2,71,12,9.64,few clouds
152,Atuona,PF,-9.8,-139.0333,77.31,71,1,14.99,clear sky
153,Saskylakh,RU,71.9167,114.0833,4.24,98,81,4.56,broken clouds
154,Meulaboh,ID,4.1363,96.1285,74.19,93,100,2.91,overcast clouds
155,Grand-Lahou,CI,5.1367,-5.0242,75.83,92,95,7.67,overcast clouds
156,Bonthe,SL,7.5264,-12.505,78.26,86,100,6.29,overcast clouds
157,Winnemucca,US,40.973,-117.7357,76.08,15,2,3.51,clear sky
158,Homer,US,59.6425,-151.5483,53.8,66,100,14.97,overcast clouds
159,Goderich,CA,43.7501,-81.7165,64.9,58,29,3.98,scattered clouds
160,Cassilandia,BR,-19.1133,-51.7342,85.17,47,67,8.84,light rain
161,Mogapi,BW,-22.323,27.8349,73.49,36,0,7.63,clear sky
162,Isangel,VU,-19.55,169.2667,73.96,72,29,9.95,scattered clouds
163,Qasigiannguit,GL,68.8193,-51.1922,26.85,78,22,5.06,few clouds
164,Shimoda,JP,34.6667,138.95,58.1,91,100,19.26,overcast clouds
165,Taoudenni,ML,22.6783,-3.9836,98.24,10,2,3.8,clear sky
166,Bethel,US,41.3712,-73.414,62.42,86,100,1.01,overcast clouds
167,Bahia Blanca,AR,-38.7196,-62.2724,64.17,52,99,3.62,overcast clouds
168,Grand-Santi,GF,4.25,-54.3833,96.17,31,12,3.33,few clouds
169,Atbasar,KZ,51.8,68.3333,48.81,39,86,5.57,overcast clouds
170,Hasaki,JP,35.7333,140.8333,59.4,80,100,22.75,light rain
171,Zahir Pir,PK,28.8124,70.524,82.8,24,0,7.85,clear sky
172,Margate,GB,51.3813,1.3862,56.88,70,11,4.0,few clouds
173,Coquimbo,CL,-29.9533,-71.3436,64.13,59,20,12.66,few clouds
174,Villeneuve-Sur-Lot,FR,44.5,0.6667,66.72,82,0,3.91,clear sky
175,Provideniya,RU,64.3833,-173.3,39.87,96,100,15.73,light rain
176,Fiumicino,IT,41.7675,12.2291,70.77,78,0,2.3,clear sky
177,Ozark,US,37.0209,-93.206,85.51,35,42,1.01,scattered clouds
178,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,82.02,66,65,7.11,broken clouds
179,Port Macquarie,AU,-31.4333,152.9167,56.89,93,100,5.08,overcast clouds
180,Auki,SB,-8.7676,160.7034,76.93,77,100,4.27,overcast clouds
181,Bozdar,PK,27.1828,68.636,85.78,28,0,9.4,clear sky
182,Evanston,US,42.0411,-87.6901,77.81,28,75,9.22,broken clouds
183,Swan Hill,AU,-35.3378,143.5544,55.36,97,100,9.13,overcast clouds
184,Port Keats,AU,-14.25,129.55,80.33,84,84,5.86,broken clouds
185,Ahuimanu,US,21.4447,-157.8378,83.91,72,40,10.36,scattered clouds
186,Douglas,US,41.3,-96.167,73.83,50,40,12.66,scattered clouds
187,Sola,VU,-13.8833,167.55,80.2,78,76,18.72,broken clouds
188,Saint George,US,37.1041,-113.5841,86.43,23,0,1.99,clear sky
189,Airai,TL,-8.9266,125.4092,58.96,79,89,2.28,overcast clouds
190,Ambikapur,IN,23.1167,83.2,71.51,91,65,7.85,broken clouds
191,Irbit,RU,57.6705,63.071,48.92,63,100,5.17,overcast clouds
192,Luderitz,NA,-26.6481,15.1594,56.48,77,19,18.19,few clouds
193,Klaksvik,FO,62.2266,-6.589,47.32,75,20,30.33,few clouds
194,Plettenberg Bay,ZA,-34.0527,23.3716,55.44,86,100,4.0,overcast clouds
195,Mayo,US,38.8876,-76.5119,64.81,89,100,6.91,mist
196,The Valley,AI,18.217,-63.0578,86.83,75,43,19.95,scattered clouds
197,Bhag,PK,29.0415,67.8239,86.41,24,0,6.13,clear sky
198,Berdigestyakh,RU,62.0989,126.6992,25.7,96,100,5.39,overcast clouds
199,Xushan,CN,30.1764,121.2457,65.97,85,100,9.6,overcast clouds
200,Phaltan,IN,17.9833,74.4333,73.8,76,81,5.93,broken clouds
201,Bambanglipuro,ID,-7.95,110.2833,76.17,85,100,8.88,overcast clouds
202,Zhanaozen,KZ,43.3,52.8,62.73,13,8,15.3,clear sky
203,Rocha,UY,-34.4833,-54.3333,65.25,63,90,13.76,overcast clouds
204,Phan Thiet,VN,10.9333,108.1,77.38,88,99,3.85,overcast clouds
205,Rong Kwang,TH,18.339,100.3174,72.77,97,100,1.45,overcast clouds
206,Bayevo,RU,53.2833,80.7667,45.23,84,89,7.34,overcast clouds
207,Chumikan,RU,54.7183,135.315,30.54,62,51,17.52,broken clouds
208,Ranong,TH,9.9658,98.6348,77.61,91,100,3.71,overcast clouds
209,Tiksi,RU,71.6872,128.8694,23.16,78,96,19.26,overcast clouds
210,Buraydah,SA,26.326,43.975,82.49,15,0,7.14,clear sky
211,Cubuk,TR,40.2386,33.0322,57.11,67,75,10.36,broken clouds
212,Wanning,CN,18.8003,110.3967,79.23,86,68,6.89,broken clouds
213,Ojiya,JP,37.3,138.8,52.39,90,76,1.95,broken clouds
214,Georgetown,MY,5.4112,100.3354,77.9,92,40,1.14,moderate rain
215,Flinders,AU,-34.5833,150.8552,58.37,92,100,3.0,light rain
216,Sisimiut,GL,66.9395,-53.6735,31.51,74,19,5.84,few clouds
217,Alice Springs,AU,-23.7,133.8833,60.35,77,0,0.0,clear sky
218,Minokamo,JP,35.482,137.0217,64.33,82,75,4.61,broken clouds
219,Fukue,JP,32.6881,128.8419,71.13,66,99,15.55,light rain
220,Mount Isa,AU,-20.7333,139.5,67.77,100,65,6.91,light rain
221,Marathon,US,44.9,-89.7668,72.64,55,75,10.36,broken clouds
222,At-Bashi,KG,41.1702,75.8106,44.64,53,100,2.24,overcast clouds
223,Akabira,JP,43.5514,142.0531,42.19,90,92,3.11,overcast clouds
224,Taksimo,RU,56.3444,114.8794,21.06,73,78,4.14,broken clouds
225,Puerto Carreno,CO,6.189,-67.4859,83.37,77,100,8.3,overcast clouds
226,Tikrit,IQ,34.6071,43.6782,87.82,13,0,8.3,clear sky
227,Karratha,AU,-20.7377,116.8463,72.41,34,18,13.87,few clouds
228,Talkha,EG,31.0539,31.3779,69.78,72,0,6.24,clear sky
229,Belyy Yar,RU,53.6039,91.3903,39.09,81,0,6.71,clear sky
230,Kismayo,SO,-0.3582,42.5454,77.05,88,72,14.7,broken clouds
231,Ullapool,GB,57.8987,-5.1604,51.35,87,100,23.58,light rain
232,Safaga,EG,26.7292,33.9365,84.18,52,0,9.01,clear sky
233,San Cristobal,VE,7.7669,-72.225,78.98,86,100,1.05,overcast clouds
234,Vostok,RU,46.4856,135.8833,25.93,78,28,5.5,scattered clouds
235,Krasnooktyabrskiy,RU,44.9328,38.3712,52.43,74,0,2.98,clear sky
236,Elizabeth City,US,36.2946,-76.2511,62.62,85,100,13.8,overcast clouds
237,Cervo,ES,43.6702,-7.4101,63.97,88,100,12.88,overcast clouds
238,Fare,PF,-16.7,-151.0167,77.58,73,15,26.19,light rain
239,Solnechnyy,RU,50.7214,136.6319,31.06,51,5,8.9,clear sky
240,Shingu,JP,33.7333,135.9833,63.82,79,100,4.74,overcast clouds
241,Killarney,IE,52.05,-9.5167,51.49,74,0,10.83,clear sky
242,Olafsvik,IS,64.8945,-23.7142,44.33,68,100,9.64,overcast clouds
243,Sur,OM,22.5667,59.5289,81.63,60,1,9.57,clear sky
